row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,US-2015-108966,2015-11-11,2015-11-11,Same Day,IM-15070,Irene Medina,Consumer,United States,Saint Paul,Minnesota,55101,Central,OFF-AP-10002454,Office Supplies,Appliances,Eldon File Cart Single Width 4-Shelf Cart,261.9600,2,0,41.9136
2,US-2015-118983,2015-11-11,2015-11-13,Second Class,HS-15282,Hilary Sengupta,Corporate,United States,Fort Lauderdale,Florida,33311,South,FUR-FU-10001889,Furniture,Furnishings,Global Adaptable by Herman Miller Model LE1 Lateral File,731.9400,3,0,219.5820
3,US-2015-118983,2015-11-11,2015-11-13,Second Class,HS-15282,Hilary Sengupta,Corporate,United States,Fort Lauderdale,Florida,33311,South,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Copiers, 3-1/2" x 15/16",14.6200,2,0,0.5230
4,US-2015-108966,2015-11-11,2015-11-11,Same Day,IM-15070,Irene Medina,Consumer,United States,Saint Paul,Minnesota,55101,Central,FUR-CH-10000454,Furniture,Chairs,Eldon Stackable Invasion Chair Yellow Mesh,125.0000,1,0,42.2720
5,US-2015-118983,2015-11-11,2015-11-13,Second Class,HS-15282,Hilary Sengupta,Corporate,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10003049,Office Supplies,Storage,Eldon Drawer Stack Unit, Grey,208.1600,1,0,70.7128
6,US-2015-108966,2015-11-11,2015-11-11,Same Day,IM-15070,Irene Medina,Consumer,United States,Saint Paul,Minnesota,55101,Central,TEC-MA-10002318,Technology,Machines,Iconix Colored Pencils,5.2800,1,0,-1.8500
7,US-2015-108967,2015-11-11,2015-11-13,Second Class,HP-15311,Harold Pawlan,Consumer,United States,New York,New York,10001,East,FUR-BO-10001203,Furniture,Bookcases,Bush Somerset Collection Bookcase,348.6000,1,0,123.4200
8,US-2015-108968,2015-11-11,2015-11-15,Standard Class,AT-15099,Arjun Teja,Consumer,United States,Los Angeles,California,90001,West,OFF-FA-10003675,Office Supplies,Fasteners,Stanley 4-Pack Assorted Bolt Anchors,4.7500,3,0,0.5220
9,US-2015-108969,2015-11-11,2015-11-11,Same Day,NK-15621,Nathan King,Corporate,United States,Houston,Texas,77001,Central,FUR-FU-10002317,Furniture,Furnishings,HON Full-Height Wood Bookcase,149.1200,1,0,45.3412
10,US-2015-108970,2015-11-11,2015-11-13,Second Class,YL-15682,Yolanda Lopez,Home Office,United States,Phoenix,Arizona,85001,West,TEC-AP-10002792,Technology,Appliances,Cisco TelePresence System EX90,4999.9900,1,0,2249.9955
